0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ano,Grau acadêmico,Ingressos Total,,,,,,,,,,,,,,,,,,,,,,,,Ano,Grau acadêmico,Concluintes em Cursos de Graduação,,,,,,,,,,,,,,,,,,,,,,,
,,Total Geral,,,,,,,,Presencial,,,,,,,,A distância,,,,,,,,,,Total Geral,,,,,,,,Modalidade de Ensino,,,,,,,,,,,,,,,
,,Total,Pública,,,,Privada,,,Total,Pública,,,,Privada,,,Total,Pública,,,,Privada ,,,,,,,,,,,,,Presencial,,,,,,,,A distância,,,,,,,
,,,Total,Federal,Estadual,Municipal,Total,Privada com fins,Privada sem fins,,Total,Federal,Estadual,Municipal,Total,Privada com fins,Privada sem fins,,Total,Federal,Estadual,Municipal,Total,Privada com fins,Privada sem fins,,,Total,Pública,,,,Privada,,,Total,Pública,,,,Privada,,,Total,Pública,,,,Privada,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,Federal,Estadual,Municipal,Total,Privada com fins,Privada sem fins,,Total,Federal,Estadual,Municipal,Total,Privada com fins,Privada sem fins,,Total,Federal,Estadual,Municipal,Total,Privada com fins,Privada sem fins
2013,Total,2742950,531846,325267,142842,63737,2211104,1187952,1023152,2227545,494940,299203,139624,56113,1732605,837242,895363,515405,36906,26064,3218,7624,478499,350710,127789,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bacharelado,1738272,309384,200840,62937,45607,1428888,722764,706124,1584909,299145,193378,62431,43336,1285764,616154,669610,153363,10239,7462,506,2271,143124,106610,36514,2013,Total,991010,229278,115336,82892,31050,761732,361517,400215,829938,206261,107792,70148,28321,623677,267268,356409,161072,23017,7544,12744,2729,138055,94249,43806
,Licenciatura,469237,153372,91410,50921,11041,315865,168308,147557,301264,133342,75322,48209,9811,167922,71707,96215,167973,20030,16088,2712,1230,147943,96601,51342,,Bacharelado,594695,139891,75300,43457,21134,454804,196421,258383,552060,130849,74237,36144,20468,421211,171713,249498,42635,9042,1063,7313,666,33593,24708,8885
,Tecnológico,521766,55766,23794,24883,7089,466000,296880,169120,327697,49129,21280,24883,2966,278568,149381,129187,194069,6637,2514,,4123,187432,147499,39933,,Licenciatura,201353,71149,33453,31208,6488,130204,53928,76276,140036,59772,27730,25778,6264,80264,29638,50626,61317,11377,5723,5430,224,49940,24290,25650
